surface,route,group,intended,state,primary_code_path,evidence,gap
Dashboard,/,top,"Role-aware home: tasks, NBA cards, trending accounts, summary KPIs, today's-5, award health",REAL,client/src/pages/dashboard.tsx + server/routes/dashboard.ts,All widgets back to real Drizzle queries; NBA panel suppresses legacy portlets when cards exist,?? 0 masking; streak hardcoded 60d; Trending Accounts conflates no-upload with zero-delta
1:1's,/one-on-one,top,"Manager-IC sessions, topics, replies, action items, dev goals, AI summary, recap email",PARTIAL,client/src/pages/one-on-one.tsx + server/routes/coaching.ts,"Sessions/topics/replies/dev goals/action items real; AI summary uses GPT-4o-mini; access gated by canAccessCoachingPair (Task #525)",GET /api/1on1/prep-summary returns openTopics: 0 hardcoded inside try block (coaching.ts:448) — silent stub
Tasks,/tasks,top,"Personal task list: create, assign, complete, comment, due dates, lane procurement linkage",PARTIAL,client/src/pages/tasks.tsx + server/routes/tasks.ts,"Real CRUD, real notifications, real task_comments threading, real attached_lane_data, bump notifications gated to >=2 days overdue","POST /api/tasks/:id/forward UI exists but server route missing (404); no recurring-task engine; dueDate stored as text YYYY-MM-DD (no time precision)"
Goals,/goals,top,"Personal + team goals with auto-tracked KPIs (margin, loads, contacts, touchpoints)",PARTIAL,client/src/pages/goals.tsx + server/financialHelpers.ts + goal_comments table,"Real CRUD, bulk-create, auto-progress for 6 metric types, comments + notifications, leaderboard","Auto-complete does not revert to active when value drops; no historical snapshots; margin auto-tracking silently falls back to manual mode if users.financialRepId missing"
Team Performance,/team-performance,top,"Per-rep KPIs, leaderboards, financial rollups, drill-downs (post-Task #1060: open to all roles with My Team / All Teams toggle)",PARTIAL,client/src/pages/team-performance.tsx + server/routes.ts:3540 (list) + :3641 (detail),"All KPI cards real (tasks, contacts, touchpoints, financials); scope toggle works; teamMappingMissing empty-state correct; tests/team-performance-access.test.ts 7/7 pass",Drill-down endpoint /api/team/performance/detail/:metric ignores scope query param — always re-derives caller tree (server/routes.ts:3674); switching page to All Teams returns wrong rep set on card click
Lane Intelligence,/research-tasks,customer,Research lanes from RFPs and mark researched,REAL,client/src/pages/research-tasks.tsx + server/routes.ts:1936,Real rfps table query,None observed
Customers,/customers,customer,"Account list + profile: ownership, financials, AI insights, talking points, health score, lanes, opportunities, quotes, touchpoints",REAL,"client/src/pages/customers.tsx, company-detail.tsx, OverviewTab.tsx; server/routes/companies.ts; server/growthScoreCalculator.ts","Health score from real signals (touchpoint 40+depth 18+volume 12+breadth 10 with risk penalties); AI talking points real LLM call (15-min cache); owner attribution via canonical companies.ownerRepId (Task #1011/CQ-3); touchpoint history real",Financials match is fuzzy on financialAlias; missing alias = silent $0 (no per-account warning)
Customer Quotes,/customer-quotes,customer,"Quote-request queue (Mine/All, Customers/Carriers, Needs Routing, Auto-Routed); detail; mark outcome (won + 4 loss reasons); routing UI; hints panel; pipeline-drops admin",REAL,"client/src/pages/quote-requests.tsx; server/services/customerQuotes.ts (locked by CQ-1..CQ-6); server/routes/customerQuotes.ts","Section 1100 guardrail green; Mine-only honest empty-state with banner; AI auto-routing creates quote_opportunities row immediately tagged routing_status; hints from quote_opportunities.quote_hints (Task #1053); pipeline drops captured for classifier_miss/unparseable/duplicate/exception","attachResponseTimes is per-row subquery (won't scale); Needs-Routing Mine-only uses ILIKE on to/cc email instead of quote_reps mapping (different semantics from main list); mark-outcome idempotency is application-level not DB-constraint"
Top Opportunities,/top-opportunities,customer,High-value opportunities ranked by potential,REAL,client/src/pages/top-opportunities.tsx + /api/opportunities,Hot-zone ranking against historical delivery volume + RFP origins,None observed
RFP & Awards,/rfp-awards,customer,"RFP CRUD, award conversion, procurement task generation",REAL,client/src/pages/rfp-awards.tsx + /api/rfps + /api/awards,"Full CRUD, lane parsing, RFP-to-Award conversion",None observed
